Name,Last,Chg.,Chg.%,Vol.,Daily,Week_1,Month_1,YTD,Year_1,Years_3
3M,106.22,+0.89,+0.84%,398000000,0.84%,1.67%,1.06%,-11.42%,-26.35%,-28.52%
Abbott Labs,110.47,+0.97,+0.89%,482000000,0.89%,-1.07%,9.10%,0.62%,-2.67%,22.95%
AbbVie,151.12,+2.25,+1.51%,712000000,1.51%,-6.95%,-5.18%,-6.49%,2.89%,82.42%
Accenture,280.29,+4.84,+1.76%,208000000,1.76%,1.43%,-1.93%,5.04%,-6.68%,55.64%
Activision Blizzard,77.71,+0.10,+0.13%,982000000,0.13%,-9.14%,-9.21%,1.52%,2.79%,20.07%
Adobe,377.56,+6.14,+1.65%,203000000,1.65%,-0.03%,-2.03%,12.19%,-4.64%,9.81%
ADP,220.00,+3.84,+1.78%,243000000,1.78%,2.23%,-1.18%,-7.90%,0.83%,56.67%
Advance Auto Parts,125.53,+0.63,+0.50%,67513000,0.50%,-2.09%,3.22%,-14.62%,-37.12%,7.67%
Aflac,69.85,+0.38,+0.55%,412000000,0.55%,5.87%,8.26%,-2.91%,21.94%,90.74%
Agilent Technologies,135.43,+2.18,+1.64%,194000000,1.64%,-2.22%,-2.10%,-9.50%,13.55%,82.50%
AIG,53.04,+0.90,+1.73%,350000000,1.73%,2.89%,5.32%,-16.13%,-9.35%,121.92%
Air Products,294.36,+2.98,+1.02%,93023000,1.02%,1.30%,2.49%,-4.51%,25.76%,32.45%
Akamai,81.97,+0.25,+0.31%,115000000,0.31%,1.27%,4.69%,-2.76%,-27.00%,-14.49%
Alaska Air,43.46,+0.49,+1.14%,189000000,1.14%,-2.14%,3.57%,1.21%,-20.10%,44.34%
Albemarle,185.46,-0.54,-0.29%,252000000,-0.29%,6.74%,-16.10%,-14.48%,-3.82%,222.88%
Alexandria RE,124.18,+1.46,+1.19%,120000000,1.19%,-0.21%,-1.12%,-14.75%,-31.83%,-17.76%
Align,325.30,+7.57,+2.38%,110000000,2.38%,-8.40%,-2.65%,54.24%,12.21%,60.04%
Allegion PLC,110.48,-0.96,-0.86%,123000000,-0.86%,7.27%,3.51%,4.96%,-3.29%,13.34%
Alliant Energy,55.14,+0.04,+0.07%,162000000,0.07%,-0.27%,3.26%,-0.13%,-6.24%,16.70%
Allstate,115.76,+0.51,+0.44%,223000000,0.44%,-0.02%,4.47%,-14.63%,-8.52%,16.06%
Alphabet A,107.34,-0.25,-0.23%,3373000000,-0.23%,1.83%,3.48%,21.66%,-5.93%,62.96%
Alphabet C,108.22,-0.15,-0.14%,2388000000,-0.14%,2.18%,4.06%,21.97%,-5.87%,63.90%
Altria,47.51,+0.32,+0.68%,1097000000,0.68%,2.95%,6.48%,3.94%,-14.50%,25.32%
Amazon.com,105.45,-4.37,-3.98%,12876000000,-3.98%,-1.41%,2.09%,25.54%,-15.15%,-7.74%
AMD,89.37,+1.93,+2.21%,5041000000,2.21%,1.06%,-8.82%,37.98%,4.50%,79.17%
Ameren,88.97,-0.75,-0.84%,85430000,-0.84%,-1.10%,2.99%,0.06%,-4.23%,24.52%
American Airlines,13.64,+0.76,+5.90%,4492000000,5.90%,1.79%,-7.53%,7.23%,-27.33%,28.20%
American Electric Power,92.42,-0.39,-0.42%,262000000,-0.42%,-1.60%,1.57%,-2.66%,-6.75%,13.55%
American Express,161.34,+2.89,+1.82%,238000000,1.82%,-1.49%,-2.19%,9.20%,-7.65%,82.68%
American Tower,204.39,-1.25,-0.61%,208000000,-0.61%,0.12%,0.02%,-3.53%,-15.20%,-12.73%
American Water Works,148.25,-0.21,-0.14%,77004000,-0.14%,-1.78%,1.20%,-2.74%,-3.78%,24.37%
Ameriprise Financial,305.12,+2.71,+0.90%,59321000,0.90%,-2.86%,-0.45%,-2.01%,14.93%,174.24%
AmerisourceBergen,166.85,-0.56,-0.33%,98582000,-0.33%,0.07%,4.21%,0.69%,10.28%,93.16%
Ametek,137.93,+0.56,+0.41%,141000000,0.41%,0.25%,-5.09%,-1.28%,9.24%,71.36%
Amgen,239.74,-0.60,-0.25%,272000000,-0.25%,-1.69%,-0.83%,-8.72%,2.81%,3.79%
Amphenol,75.47,+0.68,+0.91%,331000000,0.91%,-1.78%,-7.65%,-0.88%,5.55%,76.54%
Analog Devices,179.88,+2.26,+1.27%,317000000,1.27%,-3.47%,-8.79%,9.66%,16.52%,73.56%
ANSYS,313.92,-1.08,-0.34%,49368000,-0.34%,-2.98%,-5.67%,29.94%,13.87%,22.80%
AO Smith,68.29,-0.27,-0.39%,327000000,-0.39%,-0.71%,-1.24%,19.30%,16.87%,63.96%
Aon,325.18,-7.07,-2.13%,145000000,-2.13%,-2.52%,3.14%,8.34%,12.91%,82.47%
APA Corp,36.85,+1.19,+3.34%,374000000,3.34%,-1.02%,2.19%,-21.06%,-9.97%,226.68%
Apple,169.68,+1.27,+0.75%,5488000000,0.75%,2.82%,2.90%,30.59%,7.63%,134.79%
Applied Materials,113.03,+1.35,+1.21%,806000000,1.21%,-0.38%,-7.98%,16.07%,2.43%,141.05%
Aptiv,102.86,+1.21,+1.19%,140000000,1.19%,-2.31%,-8.32%,10.45%,-3.33%,56.44%
Arch Capital,75.07,+1.19,+1.61%,220000000,1.61%,4.73%,10.61%,19.58%,64.37%,224.84%
Archer-Daniels-Midland,78.08,+0.07,+0.09%,345000000,0.09%,-3.01%,-1.98%,-15.91%,-12.82%,122.32%
Arista Networks,160.16,+3.40,+2.17%,239000000,2.17%,2.75%,-4.59%,31.98%,38.58%,208.53%
Arthur J Gallagher,208.06,-0.99,-0.47%,168000000,-0.47%,0.14%,8.76%,10.35%,23.49%,168.43%
Assurant,123.13,+3.17,+2.64%,47774000,2.64%,5.01%,2.55%,-1.54%,-32.30%,20.34%
AT&T,17.67,+0.06,+0.34%,4050000000,0.34%,-3.02%,-8.21%,-4.02%,-6.31%,-21.71%
Atmos Energy,114.14,-0.80,-0.70%,67592000,-0.70%,-1.07%,1.58%,1.85%,0.65%,14.03%
Autodesk,194.79,+4.68,+2.46%,113000000,2.46%,0.36%,-6.42%,4.24%,2.91%,11.37%
AutoZone,158.69,+2.58,+0.10%,10569000,0.10%,-0.68%,8.35%,7.99%,36.20%,167.82%
AvalonBay,180.37,+2.72,+1.53%,110000000,1.53%,4.06%,7.32%,11.67%,-20.71%,13.84%
Avery Dennison,174.48,+5.02,+2.96%,73515000,2.96%,-2.03%,-2.49%,-3.60%,-3.39%,61.45%
Baker Hughes,29.24,+0.40,+1.39%,537000000,1.39%,-1.42%,1.32%,-0.98%,-5.74%,113.43%
Ball,53.18,+0.47,+0.89%,114000000,0.89%,2.09%,-3.50%,3.99%,-34.48%,-18.95%
Bank of America,29.28,+0.39,+1.35%,4491000000,1.35%,-1.98%,2.38%,-11.59%,-17.94%,26.86%
Bank of NY Mellon,42.59,+0.58,+1.38%,367000000,1.38%,-3.31%,-6.27%,-6.44%,1.26%,18.31%
Bath & Body Works,35.10,+0.33,+0.95%,321000000,0.95%,-1.49%,-4.05%,-16.71%,-33.64%,261.92%
Baxter,47.68,+0.88,+1.88%,595000000,1.88%,5.28%,17.55%,-6.45%,-32.90%,-45.72%
Becton Dickinson,264.31,+1.01,+0.38%,141000000,0.38%,1.19%,6.77%,3.94%,6.93%,4.94%
Berkshire Hathaway B,328.55,+2.32,+0.71%,288000000,0.71%,1.30%,6.41%,6.36%,1.77%,79.86%
Best Buy,74.52,+0.99,+1.35%,165000000,1.35%,2.42%,-4.79%,-7.09%,-17.14%,3.13%
Bio-Rad Labs,450.79,+14.34,+3.29%,14810000,3.29%,-3.52%,-5.89%,7.21%,-11.97%,4.40%
Bio-Techne,79.88,+2.18,+2.81%,80648000,2.81%,-4.30%,7.67%,-3.62%,-15.84%,40.44%
Biogen,304.23,+10.51,+3.58%,195000000,3.58%,3.48%,9.42%,9.86%,46.66%,3.80%
BlackRock,671.20,+8.52,+1.29%,52870000,1.29%,-1.43%,0.31%,-5.28%,7.45%,38.63%
Boeing,206.78,+0.74,+0.36%,370000000,0.36%,0.79%,-2.66%,8.55%,38.93%,55.04%
Booking,193.55,+46.87,+1.78%,29512000,1.78%,-0.04%,1.28%,33.30%,21.54%,85.42%
BorgWarner,48.13,+0.49,+1.03%,163000000,1.03%,-1.74%,-2.00%,19.58%,30.68%,77.21%
Boston Properties,53.36,+0.54,+1.02%,148000000,1.02%,2.38%,-1.40%,-21.04%,-54.63%,-42.58%
Boston Scientific,52.12,+0.09,+0.17%,1335000000,0.17%,1.98%,4.18%,12.64%,23.77%,44.82%
Bristol-Myers Squibb,66.77,-0.84,-1.24%,1069000000,-1.24%,-5.28%,-3.66%,-7.20%,-11.29%,10.80%
Broadcom,626.50,+8.09,+1.31%,162000000,1.31%,-1.01%,-2.34%,12.05%,13.01%,141.24%
Broadridge,145.41,+1.90,+1.32%,58723000,1.32%,1.20%,-0.79%,8.41%,0.89%,28.61%
Brown Forman,65.09,-0.19,-0.29%,148000000,-0.29%,1.75%,1.28%,-0.90%,-3.48%,6.67%
Brown&Brown,64.39,+0.35,+0.55%,173000000,0.55%,4.87%,12.14%,13.02%,3.89%,83.66%
Bunge,93.60,+0.91,+0.98%,69326000,0.98%,-1.58%,-2.01%,-6.18%,-17.26%,147.03%
Cadence Design,209.45,+1.59,+0.76%,200000000,0.76%,-1.67%,-0.30%,30.38%,38.85%,176.17%
Caesars,45.29,+1.88,+4.33%,231000000,4.33%,2.81%,-7.21%,8.87%,-31.67%,140.39%
Camden Property,110.05,+3.52,+3.30%,76205000,3.30%,3.05%,4.97%,-1.64%,-29.86%,29.27%
Campbell Soup,54.30,-0.68,-1.24%,195000000,-1.24%,1.17%,-1.24%,-4.32%,14.99%,7.72%
Capital One Financial,97.30,+1.31,+1.36%,534000000,1.36%,0.74%,1.19%,4.67%,-21.92%,58.01%
Cardinal Health,82.10,+0.02,+0.02%,253000000,0.02%,2.52%,8.74%,6.80%,41.43%,73.13%
CarMax,70.03,-0.37,-0.53%,131000000,-0.53%,1.26%,8.95%,15.01%,-18.36%,-1.46%
Carnival Corp,9.21,+0.31,+3.48%,3405000000,3.48%,-1.81%,-9.26%,14.27%,-46.76%,-33.88%
Carrier Global,41.82,+0.36,+0.87%,599000000,0.87%,-7.52%,-8.59%,1.38%,9.28%,149.37%
Catalent Inc,50.12,+3.17,+6.75%,606000000,6.75%,11.30%,-23.73%,11.35%,-44.66%,-24.76%
Caterpillar,218.80,+4.47,+2.09%,466000000,2.09%,-0.67%,-4.39%,-8.67%,3.92%,97.33%
Cboe Global,139.70,+1.50,+1.09%,55335000,1.09%,0.14%,4.07%,11.34%,23.65%,48.60%
CBRE A,76.66,+0.52,+0.68%,208000000,0.68%,6.68%,5.29%,-0.39%,-7.68%,93.10%
CDW Corp,169.59,+1.56,+0.93%,113000000,0.93%,3.96%,-12.98%,-5.03%,3.93%,58.76%
Celanese,106.24,+3.53,+3.44%,125000000,3.44%,1.57%,-2.43%,3.91%,-27.70%,33.96%
Centene,68.93,+0.43,+0.63%,276000000,0.63%,4.46%,9.05%,-15.95%,-14.43%,6.10%
CenterPoint Energy,30.47,-0.35,-1.14%,367000000,-1.14%,-0.20%,3.43%,1.60%,-0.46%,85.12%
Ceridian HCM,63.48,-0.35,-0.55%,288000000,-0.55%,-5.28%,-13.30%,-1.04%,13.09%,11.96%
CF Industries,71.58,+1.47,+2.10%,258000000,2.10%,-3.84%,-1.26%,-15.99%,-26.08%,169.00%
CH Robinson,100.87,+1.19,+1.19%,210000000,1.19%,3.57%,1.51%,10.17%,-4.97%,42.41%
Charles River Laboratories,190.12,+6.41,+3.49%,57848000,3.49%,-5.37%,-5.80%,-12.75%,-21.28%,37.18%
Charles Schwab,52.24,+0.51,+0.99%,1277000000,0.99%,-2.90%,-0.27%,-37.26%,-21.24%,43.32%
Charter Communications,368.70,+25.95,+7.57%,287000000,7.57%,10.82%,3.10%,8.73%,-13.95%,-27.65%
Chevron,168.58,+1.63,+0.98%,1003000000,0.98%,-0.32%,3.32%,-6.08%,7.60%,88.48%
Chipotle Mexican Grill,139.44,+31.36,+1.54%,41016000,1.54%,14.87%,21.03%,49.02%,42.04%,136.32%
Chubb,201.56,+2.53,+1.27%,204000000,1.27%,0.18%,3.80%,-8.63%,-2.37%,98.41%
Church&Dwight,97.12,-0.18,-0.18%,246000000,-0.18%,6.01%,9.85%,20.48%,-0.45%,36.37%
Cigna,253.29,+2.96,+1.18%,111000000,1.18%,0.46%,-0.88%,-23.56%,2.64%,35.38%
Cincinnati Financial,106.44,+2.83,+2.73%,109000000,2.73%,0.62%,-5.03%,3.96%,-13.22%,74.63%
Cintas,455.77,+4.95,+1.10%,27965000,1.10%,-0.89%,-1.49%,0.92%,14.73%,115.18%
Cisco,47.25,+0.69,+1.48%,1965000000,1.48%,0.47%,-9.61%,-0.82%,-3.53%,15.47%
Citigroup,47.07,+0.55,+1.18%,1515000000,1.18%,-4.00%,0.38%,4.07%,-2.36%,3.41%
Citizens Financial Group Inc,30.94,+0.85,+2.82%,1285000000,2.82%,7.43%,1.88%,-21.41%,-21.47%,44.44%
Clorox,165.62,-0.57,-0.34%,235000000,-0.34%,0.22%,4.66%,18.02%,15.44%,-14.06%
CME Group,185.77,+1.36,+0.74%,116000000,0.74%,-2.09%,-3.00%,10.47%,-15.31%,6.98%
CMS Energy,62.26,-0.24,-0.38%,238000000,-0.38%,1.02%,1.43%,-1.69%,-9.36%,11.28%
Coca-Cola,64.15,+0.47,+0.74%,1368000000,0.74%,0.16%,3.42%,0.85%,-0.71%,40.68%
Cognizant A,59.71,+0.50,+0.84%,337000000,0.84%,0.37%,-2.00%,4.41%,-26.19%,5.68%
Colgate-Palmolive,79.80,+1.87,+2.40%,961000000,2.40%,3.91%,6.19%,1.28%,3.57%,16.45%
Comcast,41.37,+1.10,+2.73%,2446000000,2.73%,9.62%,9.13%,18.30%,4.05%,11.87%
Comerica,43.37,+2.04,+4.94%,365000000,4.94%,-0.82%,-0.12%,-35.12%,-47.05%,32.10%
ConAgra Foods,37.96,+0.06,+0.16%,362000000,0.16%,1.36%,1.06%,-1.91%,8.67%,14.06%
ConocoPhillips,102.89,+1.66,+1.64%,664000000,1.64%,0.62%,3.71%,-12.81%,7.72%,162.88%
Consolidated Edison,98.47,-0.71,-0.72%,232000000,-0.72%,-0.58%,2.93%,3.32%,6.18%,27.47%
Constellation Brands A,229.47,+0.91,+0.40%,69517000,0.40%,1.34%,1.58%,-0.98%,-6.75%,42.03%
Constellation Energy,77.40,+0.65,+0.85%,223000000,0.85%,1.11%,-1.40%,-10.22%,30.72%,-65.23
Cooper,381.45,+3.29,+0.87%,17181000,0.87%,-1.02%,2.17%,15.36%,5.65%,36.08%
Copart,79.05,+1.29,+1.66%,157000000,1.66%,0.84%,5.11%,29.82%,39.11%,101.30%
Corning,33.22,+0.47,+1.44%,381000000,1.44%,-1.13%,-5.84%,4.01%,-5.60%,60.79%
Corteva,61.12,+0.45,+0.74%,298000000,0.74%,-0.59%,1.34%,3.98%,5.95%,139.78%
CoStar,76.95,-0.22,-0.29%,306000000,-0.29%,9.93%,11.76%,-0.43%,20.95%,23.59%
Costco,503.22,+1.95,+0.39%,116000000,0.39%,-0.62%,1.28%,10.23%,-5.36%,66.67%
Coterra Energy,25.60,+0.44,+1.75%,726000000,1.75%,0.55%,4.32%,4.19%,-11.08%,26.61%
Crown Castle,123.09,+0.12,+0.10%,224000000,0.10%,-2.29%,-8.03%,-9.25%,-33.54%,-21.30%
CSX,30.64,+0.25,+0.82%,1203000000,0.82%,-3.71%,2.34%,-1.10%,-10.77%,41.39%
Cummins,235.04,+4.15,+1.80%,75538000,1.80%,0.93%,-1.61%,-2.99%,24.23%,49.30%
CVS Health Corp,73.31,+0.25,+0.34%,799000000,0.34%,0.65%,-1.35%,-21.33%,-23.74%,22.80%
Danaher,236.91,+5.49,+2.37%,469000000,2.37%,-6.29%,-6.00%,-10.74%,-5.66%,47.36%
Darden Restaurants,151.93,+0.73,+0.48%,73969000,0.48%,0.05%,-2.08%,9.83%,15.33%,117.51%
DaVita,90.36,+2.35,+2.67%,69209000,2.67%,5.05%,11.40%,21.01%,-16.62%,18.10%
Deere&Company,378.02,+6.17,+1.66%,199000000,1.66%,-2.24%,-8.44%,-11.83%,0.12%,173.55%
Delta Air Lines,34.31,+0.98,+2.94%,1109000000,2.94%,-0.06%,-1.75%,4.41%,-20.26%,42.25%
Dentsply,41.93,+0.57,+1.38%,191000000,1.38%,2.04%,6.75%,31.69%,4.85%,4.07%
Devon Energy,53.43,+1.18,+2.26%,765000000,2.26%,-0.37%,5.57%,-13.14%,-8.15%,397.02%
DexCom,121.34,-2.24,-1.81%,389000000,-1.81%,-1.93%,4.44%,7.15%,18.80%,42.12%
Diamondback,142.20,+4.14,+3.00%,164000000,3.00%,0.79%,5.20%,3.96%,16.74%,253.03%
Digital,99.15,-2.60,-2.56%,383000000,-2.56%,2.60%,0.85%,-1.12%,-32.14%,-32.05%
Discover,103.47,+1.48,+1.45%,149000000,1.45%,-1.94%,4.68%,5.77%,-7.99%,150.11%
DISH Network,7.51,+0.19,+2.60%,699000000,2.60%,-0.92%,-19.51%,-46.51%,-73.66%,-68.70%
Dollar General,221.46,-0.09,-0.04%,134000000,-0.04%,1.48%,5.23%,-10.07%,-6.77%,28.01%
Dollar Tree,153.71,+0.34,+0.22%,120000000,0.22%,1.80%,7.08%,8.68%,-5.38%,98.62%
Dominion Energy,57.14,-0.21,-0.37%,310000000,-0.37%,-0.99%,2.20%,-6.82%,-30.01%,-24.43%
Domino’s Pizza Inc,317.47,+0.33,+0.10%,91659000,0.10%,-3.95%,-3.76%,-8.35%,-6.07%,-11.15%
Dover,146.16,+1.58,+1.09%,113000000,1.09%,-1.03%,-3.80%,7.94%,9.65%,59.79%
Dow,54.40,+0.90,+1.68%,601000000,1.68%,-0.86%,-0.77%,7.96%,-18.20%,60.33%
DR Horton,109.82,+1.48,+1.37%,199000000,1.37%,3.04%,12.42%,23.20%,57.81%,135.97%
DTE Energy,112.41,-1.04,-0.92%,109000000,-0.92%,-1.13%,2.62%,-4.36%,-14.22%,11.65%
Duke Energy,98.88,-0.59,-0.59%,199000000,-0.59%,0.53%,2.50%,-3.99%,-10.24%,19.65%
DuPont De Nemours,69.72,+1.02,+1.48%,340000000,1.48%,-0.24%,-2.86%,1.59%,5.75%,54.69%
DXC Technology,23.85,+0.50,+2.14%,141000000,2.14%,-1.16%,-6.69%,-10.00%,-16.90%,42.05%
Eastman Chemical,84.27,+3.71,+4.61%,178000000,4.61%,3.61%,-0.08%,3.47%,-17.92%,40.40%
Eaton,167.12,-0.85,-0.51%,213000000,-0.51%,2.60%,-2.46%,6.48%,15.24%,103.63%
eBay,46.43,+0.87,+1.91%,670000000,1.91%,7.70%,4.64%,11.96%,-10.57%,18.29%
Ecolab,167.84,+1.68,+1.01%,120000000,1.01%,1.35%,1.40%,15.31%,-0.89%,-11.66%
Edison,73.60,+0.03,+0.04%,165000000,0.04%,0.92%,4.26%,15.69%,6.99%,32.16%
Edwards Lifesciences,87.98,+1.26,+1.45%,329000000,1.45%,1.66%,6.35%,17.92%,-16.83%,26.08%
Electronic Arts,127.28,+0.77,+0.61%,183000000,0.61%,-1.42%,5.67%,4.17%,7.82%,12.37%
Elevance Health,468.65,+3.25,+0.70%,108000000,0.70%,3.97%,1.92%,-8.64%,-6.63%,73.85%
